date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:37:10	155636/155636	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:09%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/colgroup	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/colgroup.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:11	107479/107479	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:10%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/content	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/content.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:12	113197/113197	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:11%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/data	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/data.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:13	116015/116015	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:12%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/dd	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/dd.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:14	113302/113302	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:13%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/del	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/del.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:15	125947/125947	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:14%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/details	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/details.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:16	124621/124621	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:15%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/dfn	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/dfn.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:17	118001/118001	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:16%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/dialog	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/dialog.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:18	112092/112092	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:17%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/dir	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/dir.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:19	120598/120598	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:18%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/div	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/div.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:20	116994/116994	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:19%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/dl	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/dl.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:21	112458/112458	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:20%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/dt	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/dt.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:22	118136/118136	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:21%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/em	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/em.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:23	124161/124161	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:22%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/embed	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/embed.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:24	106365/106365	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:23%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/figcaption	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/figcaption.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:25	112836/112836	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:24%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/figure	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/figure.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:26	112348/112348	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:25%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/font	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/font.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:27	112281/112281	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:26%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/footer	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/footer.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:28	123513/123513	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:27%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/frame	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/frame.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:29	105588/105588	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:28%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/frameset	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/frameset.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/h1	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/h1	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:31	120099/120099	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202019%2008:37:30%20GMT	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/Heading_Elements	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/Heading_Elements.html	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
01:37:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://developer.mozilla.org/en-US/docs/Web/HTML/Element/h2	./SITES/HTML%20tutorial/developer.mozilla.org/en-US/docs/Web/HTML/Element/h2	(from https://developer.mozilla.org/en-US/docs/Web/HTML/Element/input/checkbox)
